Model,MAE,RMSE,R2 Score
Linear Regression,2011.3011959457306,2747.023871995102,0.21751079885893831
Decision Tree,815.6518098757098,1315.3921854815833,0.8205828306301274
Random Forest,595.1313236103957,930.693191820839,0.9101813424602891
XGBoost,858.5936889648438,1202.8629909511724,0.849967360496521
LightGBM,1349.9609333232243,1813.893733636027,0.6588250263885398
